student_id,region,time_spent,modules_completed,quiz_score,assignment_timeliness,interaction_level,consistency_index,engagement_score,learning_trend,performance_label
1,Suburban,14.3,8,72.69515950080492,49.36,81.21244599920833,0.40239495436647116,76.36,Decreasing,Medium
2,Rural,14.9,1,50.443907871647525,71.49,95.77277948864248,0.6288996859487778,85.14,Decreasing,Low
3,Rural,8.2,9,33.440251568634274,76.45,31.993963028249556,0.10579344507928976,36.5,Increasing,Low
4,Rural,10.6,8,37.96662608310488,94.56,62.580919172846954,0.3865591494816159,57.79,Decreasing,Low
5,Rural,3.7,9,97.47283295806052,90.67,92.25730631679293,0.6014091663235049,55.38,Increasing,High
6,Rural,6.9,1,44.86208517485394,40.33,151.91098380519574,0.7463476103697805,93.21,Decreasing,Medium
7,Urban,7.3,1,34.305979756839335,58.66,49.01059869367607,0.680849080751429,42.76,Decreasing,Low
8,Suburban,11.8,7,38.50379925102338,82.64,138.9247273335674,0.8865385652110048,98.96,Stable,Medium
9,Suburban,3.8,7,50.069485731997645,49.67,72.13396066584689,0.357557060967836,45.57,Decreasing,Low
10,Suburban,2.7,9,49.56122005353398,46.6,126.94278164389578,0.10381036718115395,70.22,Stable,Low
11,Urban,4.8,8,95.96903331997645,59.39,104.91787066324453,0.48453620536649694,64.46,Decreasing,Medium
12,Rural,15.0,1,97.2105815847732,64.66,94.73550533898035,0.9301946289255993,84.87,Increasing,High
13,Urban,11.7,1,82.00484746474321,62.07,126.6304660737273,0.4608429839004461,92.57,Stable,Medium
14,Urban,5.6,4,32.01602568197885,70.73,97.5909034047972,0.9644593741700868,62.8,Decreasing,Low
15,Rural,8.6,3,45.351018084342215,50.5,120.38239984871349,0.5367987565694861,81.69,Increasing,Low
16,Urban,13.6,8,58.77257653899775,93.27,127.54220429772991,0.25524499035974413,97.77,Stable,Low
17,Urban,4.1,1,32.1189724881129,69.63,59.82160675488603,0.6539707673006188,40.16,Increasing,Low
18,Rural,4.4,6,100.0,69.2,17.281296290455842,0.7778078419845534,19.64,Decreasing,High
19,Rural,1.3,1,33.99647524914709,99.67,54.781513262029385,0.40459618845794787,30.64,Decreasing,Low
20,Suburban,3.4,9,57.746417436892,90.65,72.57108910650813,0.2007336208104485,44.79,Stable,Low
21,Urban,6.0,7,57.01346875709116,55.37,23.484986962575086,0.09504071156339314,26.74,Increasing,Low
22,Urban,1.4,2,35.754476773619785,74.7,96.78693095541297,0.18025386640405758,51.89,Decreasing,Low
23,Rural,14.5,7,35.755611049677746,43.1,123.54134814274063,0.7777894538277839,98.02,Increasing,Low
24,Rural,2.1,9,81.72090848056219,43.49,132.21494513288286,0.29217348136994864,71.36,Decreasing,Medium
25,Urban,8.8,6,34.88036397892746,42.86,149.799689901133,0.16556255598529482,96.9,Stable,Low
26,Rural,14.3,4,32.7650849483369,62.48,105.18268982135149,0.7094148809036113,88.34,Stable,Low
27,Suburban,10.0,1,85.80713446789528,89.24,21.62279478385716,0.9965497140155999,35.81,Increasing,High
28,Urban,4.9,4,77.24059828546977,60.9,86.63026394985698,0.7765521103139522,55.57,Decreasing,Medium
29,Urban,6.8,2,45.774769756868906,74.83,48.37178196827244,0.7289855731214813,41.19,Stable,Low
30,Suburban,5.2,3,56.839590208537864,40.65,91.07416299400302,0.9344022017388607,58.54,Increasing,Medium
31,Urban,8.8,5,86.29733315175781,87.49,67.21374868535257,0.9427021776094497,55.61,Decreasing,High
32,Suburban,4.1,9,89.6513849263606,82.37,14.712455754865818,0.30047893644188073,17.61,Decreasing,Medium
33,Suburban,5.9,3,81.22707276314733,73.5,98.733468475147,0.4433124162905729,64.12,Decreasing,Medium
34,Urban,12.5,7,84.93763326666546,75.0,121.14096045150224,0.5813682351977678,91.82,Increasing,High
35,Rural,13.9,5,52.01636491502311,81.72,53.69795731133585,0.7561696191016203,61.6,Increasing,Medium
36,Rural,14.3,8,53.37220855138038,46.41,124.42273493495772,0.24722602015338907,97.96,Decreasing,Low
37,Urban,10.8,1,52.949369929211244,64.67,49.80905406872746,0.954261502757527,51.9,Increasing,Medium
38,Suburban,11.9,2,99.62733382402044,49.03,97.69754263520875,0.45656049276828425,78.6,Stable,High
39,Urban,13.8,7,81.09281976891629,96.69,93.60647542992561,0.541813404423314,81.3,Increasing,High
40,Rural,10.4,2,65.38315969310415,89.88,59.49826439752445,0.5693885025821354,55.75,Increasing,Medium
41,Urban,9.7,2,84.6128361259046,94.19,47.34923294036227,0.6808050700640655,47.92,Stable,High
42,Urban,5.2,3,78.26722978689783,87.79,142.005920411415,0.5398140258097839,84.0,Increasing,Medium
43,Urban,4.4,3,65.40749619030578,67.61,90.46301982476989,0.24242104094835404,56.23,Stable,Low
44,Urban,3.4,3,36.22585292874587,50.14,108.14491038352385,0.15358101867136248,62.57,Increasing,Low
45,Suburban,5.5,9,63.45534390061834,81.27,64.33709120140033,0.9484250010013028,45.92,Increasing,Medium
46,Rural,6.2,6,47.68311392611153,85.6,87.9337504636306,0.8623664242536572,59.47,Increasing,Medium
47,Suburban,8.5,9,80.07355005909436,50.94,46.94763226448139,0.29654668197593287,44.72,Stable,Medium
48,Urban,8.0,4,64.5538475222393,75.21,13.59240350747826,0.6167799182228209,26.8,Increasing,Medium
49,Suburban,5.6,9,45.42521215152226,46.11,76.40802769096055,0.2414556488383448,52.2,Stable,Low
50,Urban,2.6,2,71.32183437524876,95.04,85.06733426560434,0.3329799691628768,49.03,Stable,Medium
51,Rural,11.8,6,94.71141893366003,82.66,31.393208943735903,0.16582574814230353,45.2,Stable,Medium
52,Suburban,1.7,2,60.59606264220723,72.92,149.28075328390608,0.4231898731448533,78.89,Stable,Medium
53,Suburban,6.8,1,88.53318809021249,84.76,83.2744784498834,0.995505354692632,58.64,Increasing,High
54,Urban,12.6,5,43.56191128553794,49.82,15.824341673655,0.7212787748418887,39.41,Stable,Low
55,Urban,13.6,6,64.82282750844031,66.32,65.43126212962079,0.6701548922248325,66.72,Stable,Medium
56,Suburban,13.5,4,100.0,85.14,43.00098631586084,0.641126198327737,55.25,Increasing,High
57,Urban,2.8,8,65.21452940963775,72.39,55.59469907625519,0.8411849192019314,34.8,Stable,Medium
58,Urban,14.4,8,70.30233164640966,64.05,54.68040713715375,0.6693006179316221,63.34,Increasing,Medium
59,Urban,12.1,5,78.85145258588837,49.15,99.58915565981167,0.1479264667411949,80.04,Decreasing,Low
60,Suburban,5.4,3,73.09449297806054,63.94,55.03778787806561,0.8131036128566084,41.02,Increasing,Medium
61,Urban,7.3,3,45.56619301171649,74.66,94.83810329409044,0.8023522676751823,65.67,Decreasing,Low
62,Suburban,8.8,6,33.24459279292004,99.81,52.26623896031793,0.36298510496193814,48.13,Stable,Low
63,Urban,6.3,8,66.96324669016212,57.64,120.27807976693728,0.5346741490417518,75.89,Increasing,Medium
64,Urban,14.2,3,74.56636594414853,64.52,99.07285974533818,0.8113242910940675,85.04,Increasing,High
65,Suburban,9.3,9,88.48961063882243,50.71,107.26097376155356,0.7417257130319402,76.88,Increasing,High
66,Rural,9.9,1,45.604767431384964,41.59,134.78581283332048,0.6350402179547914,92.14,Decreasing,Medium
67,Suburban,1.5,4,75.63364538034547,64.56,145.90712524809027,0.3599285478134029,76.7,Increasing,Medium
68,Rural,8.6,9,50.256050533555566,48.36,16.454276123394198,0.9136194167798439,29.73,Decreasing,Medium
69,Suburban,1.9,5,73.80240018351506,89.78,93.27109830753008,0.20280263980942878,51.39,Stable,Low
70,Suburban,9.0,1,59.60441565873921,62.99,130.33237558348657,0.4447324616477238,87.67,Decreasing,Low
71,Urban,14.3,7,73.99608374850796,96.21,78.43568033138804,0.34707999270032,74.97,Decreasing,Medium
72,Rural,9.7,2,35.57061862492714,44.51,32.90873569316934,0.7595716815047069,40.7,Decreasing,Low
73,Urban,10.7,1,45.532537226809204,72.51,95.18662955274114,0.8163876707439067,74.34,Stable,Medium
74,Rural,14.8,7,97.78788691918348,73.35,98.15945855999871,0.12881334538430037,86.08,Decreasing,Medium
75,Urban,5.5,7,30.505030251545726,75.78,120.83378048771449,0.16216918240259615,74.17,Increasing,Low
76,Suburban,12.1,9,81.81456797855085,71.21,120.19644112519606,0.10448134649698883,90.35,Stable,Medium
77,Urban,13.2,9,83.76227195468725,65.07,111.59598173775221,0.783585247605676,88.8,Decreasing,High
78,Suburban,4.9,5,100.0,65.67,53.40241797424804,0.23494628273127846,38.95,Decreasing,Medium
79,Urban,1.9,8,95.73357694780978,78.98,124.49658009816429,0.22405690480114568,67.0,Stable,Medium
80,Rural,8.3,4,98.53555391143806,50.43,92.89879545326653,0.24608769062553898,67.2,Stable,Medium
81,Suburban,2.3,9,57.95173078144981,56.38,39.003370369961075,0.9797563281801849,25.25,Increasing,Medium
82,Suburban,6.2,8,71.73838234247984,42.93,43.38933027356946,0.746168842338585,37.19,Increasing,Medium
83,Urban,8.9,1,93.14096436239473,87.85,102.52182209332189,0.9120002406876746,73.51,Stable,High
84,Urban,3.2,9,35.1846157332779,89.55,148.02932724885528,0.28653712944182597,82.01,Increasing,Low
85,Suburban,8.8,8,50.562774824430576,78.04,96.29094149822693,0.18443739985959068,70.15,Decreasing,Low
